2025-06-30 21:32:14,395 - FBDWarehouse - INFO - Retrieved block FWC09 (color: M4, part: out_layer) - 2 parameters
2025-06-30 21:32:14,441 - FBDWarehouse - INFO - Retrieved block ALT34 (color: M2, part: in_layer) - 6 parameters
2025-06-30 21:32:14,441 - FBDWarehouse - INFO - Retrieved block BVP97 (color: M2, part: layer1) - 24 parameters
2025-06-30 21:32:14,441 - FBDWarehouse - INFO - Retrieved block CNF57 (color: M2, part: layer2) - 30 parameters
2025-06-30 21:32:14,441 - FBDWarehouse - INFO - Retrieved block DWJ41 (color: M2, part: layer3) - 30 parameters
2025-06-30 21:32:14,443 - FBDWarehouse - INFO - Retrieved block EGO46 (color: M2, part: layer4) - 30 parameters
2025-06-30 21:32:14,443 - FBDWarehouse - INFO - Retrieved block FBI78 (color: M2, part: out_layer) - 2 parameters
2025-06-30 21:32:14,443 - FBDWarehouse - INFO - Retrieved block AOC39 (color: M3, part: in_layer) - 6 parameters
2025-06-30 21:32:14,443 - FBDWarehouse - INFO - Retrieved block BWW19 (color: M3, part: layer1) - 24 parameters
2025-06-30 21:32:14,443 - FBDWarehouse - INFO - Retrieved block COO30 (color: M3, part: layer2) - 30 parameters
2025-06-30 21:32:14,443 - FBDWarehouse - INFO - Retrieved block DHK75 (color: M3, part: layer3) - 30 parameters
2025-06-30 21:32:14,445 - FBDWarehouse - INFO - Retrieved block EYT34 (color: M3, part: layer4) - 30 parameters
2025-06-30 21:32:14,445 - FBDWarehouse - INFO - Retrieved block FGM06 (color: M3, part: out_layer) - 2 parameters
2025-06-30 21:32:14,445 - FBDWarehouse - INFO - Retrieved block AUV29 (color: M5, part: in_layer) - 6 parameters
2025-06-30 21:32:14,446 - FBDWarehouse - INFO - Retrieved block BYM04 (color: M5, part: layer1) - 24 parameters
2025-06-30 21:32:14,446 - FBDWarehouse - INFO - Retrieved block CRZ52 (color: M5, part: layer2) - 30 parameters
2025-06-30 21:32:14,446 - FBDWarehouse - INFO - Retrieved block DPX98 (color: M5, part: layer3) - 30 parameters
2025-06-30 21:32:14,447 - FBDWarehouse - INFO - Retrieved block EVN36 (color: M5, part: layer4) - 30 parameters
2025-06-30 21:32:14,447 - FBDWarehouse - INFO - Retrieved block FSY05 (color: M5, part: out_layer) - 2 parameters
2025-06-30 21:32:14,491 - FBDWarehouse - INFO - Retrieved block AKY64 (color: M1, part: in_layer) - 6 parameters
2025-06-30 21:32:14,492 - FBDWarehouse - INFO - Retrieved block BVD88 (color: M1, part: layer1) - 24 parameters
2025-06-30 21:32:14,492 - FBDWarehouse - INFO - Retrieved block CGV29 (color: M1, part: layer2) - 30 parameters
2025-06-30 21:32:14,492 - FBDWarehouse - INFO - Retrieved block DQM27 (color: M1, part: layer3) - 30 parameters
2025-06-30 21:32:14,493 - FBDWarehouse - INFO - Retrieved block EVZ66 (color: M1, part: layer4) - 30 parameters
